This is a backup of mpql’s ID list : https://mpql.net/tools/acnh/codes/item-list/
—————
Empty, FFFE
morning-glory yukata; Color: Pale green, 2328
morning-glory yukata; Color: Dark blue, 2329
morning-glory yukata; Color: White, 2327
Moroccan dress; Color: Pink, 39A8
Moroccan dress; Color: Green, 0220
Moroccan dress; Color: Blue, 0221
Moroccan dress; Color: Black, 0224
Moroccan dress; Color: White, 0225
mummy outfit; Color: No Variations, 0E17
My Melody dress; Color: No Variations, 35BE
mysterious dress; Color: Red, 21F2
mysterious dress; Color: Purple, 0DF5
mysterious dress; Color: Black, 21F1
nightgown; Color: Pink, 1FC9
nightgown; Color: Blue, 1098
nightgown; Color: Purple, 2E9F
nightgown; Color: Beige, 2EA0
nightgown; Color: White, 2EA1
ninja costume; Color: Aqua, 23FA
ninja costume; Color: Green, 23FB
ninja costume; Color: Yellow, 23FC
ninja costume; Color: Orange, 23FD
ninja costume; Color: Dark blue, 0D84
ninja costume; Color: Gray, 23F7
ninja costume; Color: Red, 23F8
ninja costume; Color: Purple, 23F9
noble dress; Color: Green, 16A6
noble dress; Color: Purple, 1D06
noble dress; Color: Yellow, 1D07
noble dress; Color: Red, 1D08
noble dress; Color: Ruby red, 1D02
noble dress; Color: White, 1D03
noble dress; Color: Blue, 1D04
noble dress; Color: Black, 1D05
noble zap suit; Color: Pink, 0C57
noble zap suit; Color: Blue, 2509
noble zap suit; Color: Green, 250A
noble zap suit; Color: Red, 250B
noble zap suit; Color: Yellow, 250C
noble zap suit; Color: Black, 250D
noble zap suit; Color: Silver, 250E
noble zap suit; Color: White, 250F
Nook Inc. leotard; Color: No Variations, 38D1
nurse's dress uniform; Color: White, 1E70
nurse's dress uniform; Color: Blue, 1E71
nurse's dress uniform; Color: Pink, 0D13
office uniform; Color: Blue, 10F0
office uniform; Color: Pink, 2346
office uniform; Color: Gray, 2347
ogre costume; Color: Red, 21C9
ogre costume; Color: Blue, 140D
ogre costume; Color: Green, 21CA
old commoner's kimono; Color: Blue, 2324
old commoner's kimono; Color: Green, 2325
old commoner's kimono; Color: Red, 2326
old commoner's kimono; Color: Golden yellow, 16A9
orange dress; Color: No Variations, 0CD8 DIY: 0272
Orihime outfit; Color: No Variations, 33B7
overall dress; Color: Yellow, 1044
overall dress; Color: Beige, 1045
overall dress; Color: Red, 1046
overall dress; Color: Green, 2334
overall dress; Color: Denim, 0BF3
oversized print dress; Color: Blue, 1EED
oversized print dress; Color: Green, 1EEE
oversized print dress; Color: Brown, 1EEF
oversized print dress; Color: Orange, 1EF0
oversized print dress; Color: Beige, 1EF1
oversized print dress; Color: Pink, 11CC
oversized-sweats dress; Color: Light blue, 1F34
oversized-sweats dress; Color: Yellow, 1F35
oversized-sweats dress; Color: Red, 1148
oversized-sweats dress; Color: Orange, 1F36
oversized-sweats dress; Color: Pink, 1F37
painter's coverall; Color: Beige, 2A9E
painter's coverall; Color: Green, 2EF5
painter's coverall; Color: White, 2EF6
pajama dress; Color: Green, 2E9B
pajama dress; Color: Gray, 2E9C
pajama dress; Color: Berry red, 2E9D
pajama dress; Color: Brown, 2E9E
pajama dress; Color: Navy blue, 2B58
palatial tank dress; Color: No Variations, 0D71
Paradise Planning dress; Color: No Variations, 39F2
Paradise Planning maxi; Color: No Variations, 39E2
Paradise Planning muumuu; Color: No Variations, 365B
parka and shirtdress; Color: Yellow, 1F38
parka and shirtdress; Color: Red, 1F39
parka and shirtdress; Color: Blue, 1174
parka dress; Color: Yellow, 0C9A
parka dress; Color: Orange, 1040
parka dress; Color: Blue, 1041
parka dress; Color: Green, 1042
parka dress; Color: Pink, 1043
peach dress; Color: No Variations, 266F DIY: 026A
peacoat-and-skirt combo; Color: Blue, 11F2
peacoat-and-skirt combo; Color: Red, 2302
pear dress; Color: No Variations, 266D DIY: 0267
pharaoh's outfit; Color: No Variations, 0DF9
pilot's uniform; Color: Light blue, 1FB8
pilot's uniform; Color: Navy blue, 0E1C
pilot's uniform; Color: Black, 1FB7
pinafore; Color: Pink, 2312
pinafore; Color: Muslin, 2313
pinafore; Color: Dark blue, 0DD0
pineapple dress; Color: No Variations, 0CDD
pintuck-pleated dress; Color: Pink, 119A
pintuck-pleated dress; Color: Lime, 22B5
pintuck-pleated dress; Color: Green, 22B6
pintuck-pleated dress; Color: Purple, 22B7
pintuck-pleated dress; Color: Light blue, 22B8
pintuck-pleated dress; Color: Brown, 22B9
pirate dress; Color: Blue, 1D11
pirate dress; Color: Red, 10C7
pirate dress; Color: Black, 1D12
pirate outfit; Color: Blue, 3322
pirate outfit; Color: Black, 3323
pirate outfit; Color: Red, 317C
pirate-treasure robe; Color: No Variations, 317B
PJ outfit; Color: Navy blue, 1E8F
PJ outfit; Color: Gray, 1E90
PJ outfit; Color: Green, 1E91
PJ outfit; Color: Red, 1E92
PJ outfit; Color: Blue, 0D1A
plaid-print dress; Color: Energetic plaid, 24CB
plaid-print dress; Color: Fancy plaid, 112F
plaid-print dress; Color: Dreamy plaid, 24CC
plaid-print dress; Color: Sweet plaid, 24CD
plover dress; Color: Gray, 233C
plover dress; Color: Green, 233D
plover dress; Color: Brown, 0C38
Pompompurin outfit; Color: No Variations, 34AE
power suit; Color: Blue, 2D2C
power suit; Color: Green, 2D2D
power suit; Color: Red, 1530
power suit; Color: Black, 2D2E
prim outfit; Color: Gray, 233A
prim outfit; Color: Pink, 233B
prim outfit; Color: Blue, 0AE0
princess dress; Color: Blue, 0CBC
princess dress; Color: Green, 2027
princess dress; Color: Yellow, 2028
princess dress; Color: Pink, 2029
princess dress; Color: Purple, 202A
princess dress; Color: Mint, 202B
princess dress; Color: Orange, 202C
princess dress; Color: Gray, 202D
Princess Peach dress; Color: No Variations, 34FC
racing outfit; Color: Blue, 24FA
racing outfit; Color: Yellow, 24FB
racing outfit; Color: Black, 24FC
racing outfit; Color: Red, 0E47
rad power skirt suit; Color: Red, 0C3E
rad power skirt suit; Color: Pink, 1EDD
rad power skirt suit; Color: Purple, 1EDE
rad power skirt suit; Color: Blue, 1EDF
rad power skirt suit; Color: Green, 1EE0
rad power skirt suit; Color: Yellow, 1EE1
rad power skirt suit; Color: Light blue, 1EE2
raggedy outfit; Color: Orange, 32BC
raggedy outfit; Color: Green, 344E
raggedy outfit; Color: Red, 344F
raggedy outfit; Color: Black, 3450
raggedy outfit; Color: Purple, 344C
raggedy outfit; Color: White, 344D
reindeer costume; Color: No Variations, 119F
Renaissance dress; Color: Blue, 1FEA
Renaissance dress; Color: Navy blue, 1FEB
Renaissance dress; Color: Pink, 1FEC
Renaissance dress; Color: Purple, 1FED
Renaissance dress; Color: Red, 1538
Renaissance dress; Color: Green, 1FE9
retro A-line dress; Color: Yellow, 1EE6
retro A-line dress; Color: Black, 1EE7
retro A-line dress; Color: Blue, 1EE4
retro A-line dress; Color: Light blue, 1EE5
retro A-line dress; Color: Pink, 11CD
retro dress; Color: Black, 1EE8
retro dress; Color: Orange, 1EE9
retro dress; Color: Pink, 1EEA
retro dress; Color: Yellow, 1EEB
retro dress; Color: Light blue, 1EEC
retro dress; Color: Green, 0A92
retro sleeveless dress; Color: Blue, 1EC8
retro sleeveless dress; Color: Yellow, 10CC
retro sleeveless dress; Color: Green, 1EC5
retro sleeveless dress; Color: Red, 1EC6
retro sleeveless dress; Color: Pink, 1EC7
ribbons & hearts knit dress; Color: Purple, 3A26
ribbons & hearts knit dress; Color: Black, 023D
ribbons & hearts knit dress; Color: Gray, 023E
ribbons & hearts knit dress; Color: Light blue, 023F
ruffled dress; Color: Black, 21EC
ruffled dress; Color: Red, 21ED
ruffled dress; Color: Purple, 0D39
rugby uniform; Color: Blue & white, 1DCD
rugby uniform; Color: Red & white, 11EA
rugby uniform; Color: Green & white, 1DCE
rugby uniform; Color: Orange & white, 1DCF
rugby uniform; Color: Red & black, 1DD0
rugby uniform; Color: Blue & black, 1DD1
rugby uniform; Color: Green & black, 1DD2
rugby uniform; Color: Orange & black, 1DD3
rumba costume; Color: Red, 15EA
rumba costume; Color: Orange, 2D3A
rumba costume; Color: Pink, 2D3B
rumba dress; Color: Orange, 2538
rumba dress; Color: Pink, 2539
rumba dress; Color: Red, 160D
sailor-collar dress; Color: Navy blue, 22B2
sailor-collar dress; Color: Blue, 22B3
sailor-collar dress; Color: Pink, 22B4
sailor-collar dress; Color: White, 0E59
samurai hakama; Color: White, 0226
samurai hakama; Color: Blue, 0227
samurai hakama; Color: Pale orange, 0228
samurai hakama; Color: Sky blue, 0229
samurai hakama; Color: Vermilion, 022A
samurai hakama; Color: Light pink, 022B
samurai hakama; Color: Black, 39AC
sari; Color: Aquamarine, 23BD
sari; Color: Garnet, 0E65
sari; Color: Topaz, 23BE
sari; Color: Amethyst, 23BF
satin dress; Color: Blue, 1F06
satin dress; Color: Berry red, 1F07
satin dress; Color: Purple, 1F08
satin dress; Color: Pink, 1F09
satin dress; Color: Green, 0A27
school smock; Color: No Variations, 15BF
security uniform; Color: No Variations, 0DED
sequin dress; Color: Red, 1EBE
sequin dress; Color: Black, 1EBF
sequin dress; Color: Yellow, 1EC0
sequin dress; Color: White, 1EC1
sequin dress; Color: Blue, 1EC2
sequin dress; Color: Purple, 1EC3
sequin dress; Color: Green, 1EC4
sequin dress; Color: Pink, 0E4B
shamrock suit; Color: No Variations, 379C
shawl-and-dress combo; Color: Black, 1189
shawl-and-dress combo; Color: Ochre, 2193
shawl-and-dress combo; Color: Green, 2194
shawl-and-dress combo; Color: Red, 2195
sheep costume; Color: Pink, 25A3
sheep costume; Color: Light blue, 25A4
sheep costume; Color: Brown, 25A5
sheep costume; Color: White, 114F
shell dress; Color: Purple, 203A
shell dress; Color: Pink, 1231
shell dress; Color: Blue, 2036
shell dress; Color: Yellow, 2037
shell dress; Color: Mint, 2038
shell dress; Color: Red, 2039
shiromuku; Color: No Variations, 37CA
shirtdress; Color: Beige, 22F5
shirtdress; Color: Olive, 22F6
shirtdress; Color: Navy blue, 0D3A
shorts outfit; Color: Light blue, 1F56
shorts outfit; Color: Blue, 1F57
shorts outfit; Color: Pink, 1F58
shorts outfit; Color: Black, 1F59
shorts outfit; Color: Brown, 1209
simple checkered dress; Color: Green, 2F40
simple checkered dress; Color: Beige, 2F41
simple checkered dress; Color: Pink, 213D
simple visiting kimono; Color: Pale green, 178A
simple visiting kimono; Color: Gray, 2332
simple visiting kimono; Color: Wisteria, 232C
simple visiting kimono; Color: Pink, 232D
simple visiting kimono; Color: Indigo blue, 232E
simple visiting kimono; Color: Orange, 232F
simple visiting kimono; Color: Aqua, 2330
simple visiting kimono; Color: Yellow, 2331
simple-dots dress; Color: Red, 1FFC
simple-dots dress; Color: Yellow, 2F4A
simple-dots dress; Color: Light blue, 2F4B
simple-dots dress; Color: Green, 2F4C
simple-dots dress; Color: Black, 2F4D
skirt with suspenders; Color: Red, 0E4C
skirt with suspenders; Color: Orange, 233E
skirt with suspenders; Color: Pink, 233F
skirt with suspenders; Color: Blue, 2340
skirt with suspenders; Color: Gray, 2341
sky-egg outfit; Color: No Variations, 30A5 DIY: 02AE
sleeveless shirtdress; Color: White, 22F7
sleeveless shirtdress; Color: Pink, 22F8
sleeveless shirtdress; Color: Lime, 22F9
sleeveless shirtdress; Color: Blue, 0D3B
sleeveless silk dress; Color: Red, 140B
sleeveless silk dress; Color: Green, 23C0
sleeveless silk dress; Color: Navy blue, 23C1
sleeveless silk dress; Color: White, 23C2
sleeveless silk dress; Color: Pink, 23C3
sleeveless silk dress; Color: Light blue, 23C4
sleeveless silk dress; Color: Yellow, 23C5
sleeveless sweater dress; Color: Gray, 0CBD
sleeveless sweater dress; Color: Black, 1F4A
sleeveless sweater dress; Color: White, 1F4B
sleeveless sweater dress; Color: Purple, 1F4C
sleeveless sweater dress; Color: Light blue, 1F4D
sleeveless sweater dress; Color: Lime, 1F4E
slip dress; Color: Black, 1EFA
slip dress; Color: Orange, 1EFB
slip dress; Color: Yellow, 1EFC
slip dress; Color: Gray, 1EFD
slip dress; Color: Red, 1EFE
slip dress; Color: Blue, 11EB
space suit; Color: No Variations, 0E34
sprite costume; Color: Red, 1FC3
sprite costume; Color: Brown, 1FC4
sprite costume; Color: Blue, 1FC5
sprite costume; Color: Yellow, 1FC6
sprite costume; Color: Pink, 1FC7
sprite costume; Color: Mint, 1FC8
sprite costume; Color: Green, 104B
star costume; Color: White, 1161
star costume; Color: Black, 2528
star costume; Color: Red, 2529
star costume; Color: Navy blue, 252A
star costume; Color: Yellow, 252B
steampunk costume; Color: Purple, 253E
steampunk costume; Color: Red, 16C1
steampunk dress; Color: Purple, 02DB
steampunk dress; Color: Blue, 023A
steampunk dress; Color: Green, 023B
steampunk dress; Color: Black, 023C
steampunk dress; Color: Red, 3A2D
stellar jumpsuit; Color: Blue, 253A
stellar jumpsuit; Color: Dark red, 253B
stellar jumpsuit; Color: Purple, 253C
stellar jumpsuit; Color: Red, 253D
stellar jumpsuit; Color: Green, 16A7
stone-egg outfit; Color: No Variations, 30A2 DIY: 02A5
strawberry dress; Color: No Variations, 0CD6
striped dress; Color: Black, 10A6
striped dress; Color: Orange, 1E59
striped dress; Color: Blue, 1E5A
striped dress; Color: Yellow, 1E5B
striped dress; Color: Red, 1E5C
striped dress; Color: Gray, 1E5D
striped dress; Color: Green, 1E5E
striped dress; Color: Pink, 1E5F
striped halter dress; Color: Green, 1E69
striped halter dress; Color: Orange, 1E6A
striped halter dress; Color: Light blue, 1E6B
striped halter dress; Color: Pink, 10C2
striped maxi dress; Color: Red, 1279
striped maxi dress; Color: Blue, 1E66
striped maxi dress; Color: Green, 1E67
striped maxi dress; Color: Orange, 1E68
stylish jumpsuit; Color: Black, 14E6
stylish jumpsuit; Color: Gray, 234F
stylish jumpsuit; Color: Beige, 2350
stylish jumpsuit; Color: Avocado, 2351
stylish jumpsuit; Color: Pink, 2352
suit of lights; Color: Green, 2526
suit of lights; Color: Pink, 2527
suit of lights; Color: Black, 0E1D
suit of lights; Color: Red, 2524
suit of lights; Color: Blue, 2525
suit with stand-up collar; Color: White, 1D92
suit with stand-up collar; Color: Beige, 1D93
suit with stand-up collar; Color: Black, 1615
suit with stand-up collar; Color: Avocado, 1D91
sunflower dress; Color: White, 1150
sunflower dress; Color: Orange, 24D4
sunflower dress; Color: Navy blue, 24D5
superhero uniform; Color: Blue, 117B
superhero uniform; Color: Red, 2515
superhero uniform; Color: Black, 2516
superhero uniform; Color: Green, 2517
suspender outfit; Color: Gray, 21B0
suspender outfit; Color: Pink, 21B1
suspender outfit; Color: Black, 21B2
suspender outfit; Color: Light green, 21B3
suspender outfit; Color: Blue, 0E7B
sweater dress; Color: Dark brown, 103F
sweater dress; Color: Olive, 0CA2
sweater dress; Color: Beige, 103E
sweet dress; Color: Purple, 2518
sweet dress; Color: White, 124E
sweetheart dress; Color: Navy blue, 0E70
sweetheart dress; Color: Peacock blue, 2342
sweetheart dress; Color: Beige, 2343
sweetheart dress; Color: Greige, 2344
sweetheart dress; Color: Moss green, 2345
tango dress; Color: Red, 16B7
tango dress; Color: Black, 1EC9
tango dress; Color: Pink, 1ECA
tango dress; Color: Blue, 1ECB
tango dress; Color: Purple, 1ECC
tango dress; Color: Green, 1ECD
tee dress; Color: Beige, 20BF
tee dress; Color: Navy blue, 20C0
tee dress; Color: White, 20C1
tee dress; Color: Olive, 20C2
tee dress; Color: Red, 20C3
tee dress; Color: Black, 11CF
tiger-face tee dress; Color: Purple, 20BC
tiger-face tee dress; Color: Pink, 20BD
tiger-face tee dress; Color: Yellow, 20BE
tiger-face tee dress; Color: Black, 1173
tiger-face tee dress; Color: White, 20BB
tight punk outfit; Color: Red, 217B
tight punk outfit; Color: Black, 1177
toga; Color: Red, 0DF2
toga; Color: Purple, 1FBE
tropical muumuu; Color: White, 2568
tropical muumuu; Color: Blue, 2569
tropical muumuu; Color: Yellow, 256A
tropical muumuu; Color: Pink, 256B
tropical muumuu; Color: Mint, 0A7F
tuna-sushi costume; Color: No Variations, 15EF
tweed dress; Color: Pink, 2263
tweed dress; Color: Blue, 2264
tweed dress; Color: Yellow, 0A75
vibrant tuxedo; Color: Red, 37B5
vibrant tuxedo; Color: Blue, 3843
vibrant tuxedo; Color: Green, 3844
vibrant tuxedo; Color: Yellow, 3845
vibrant tuxedo; Color: Orange, 3846
vibrant tuxedo; Color: Purple, 3847
vibrant tuxedo; Color: Brown, 3848
vibrant tuxedo; Color: Monotone, 3849
Victorian dress; Color: Navy blue, 266A
Victorian dress; Color: Green, 2F2E
Victorian dress; Color: Beige, 2F2F
Victorian dress; Color: Red, 2F30
Victorian dress; Color: Blue, 2F31
Victorian dress; Color: Orange, 2F32
vine outfit; Color: No Variations, 37A8 DIY: 0336
visual-punk dress; Color: No Variations, 2BAB
visual-punk outfit; Color: No Variations, 11D3
Wario outfit; Color: No Variations, 34F5
water-egg outfit; Color: No Variations, 30A6 DIY: 02B1
watermelon dress; Color: No Variations, 0CD7
wedding dress; Color: No Variations, 0D08
wedding tuxedo; Color: No Variations, 30D1
white hakama with crest; Color: No Variations, 37C9
wizard's robe; Color: Purple, 21F3
wizard's robe; Color: Blue, 10B1
wood-egg outfit; Color: No Variations, 30A4 DIY: 02AB
wrestler uniform; Color: Red, 0E1A
wrestler uniform; Color: Blue, 21BB
wrestler uniform; Color: Green, 21BC
wrestler uniform; Color: Pink, 21BD
wrestler uniform; Color: Black, 21BE
wrestler uniform; Color: Yellow, 21BF
wrestling singlet; Color: Red, 1407
wrestling singlet; Color: Blue, 21C7
wrestling singlet; Color: Green, 21C8
zap suit; Color: Blue, 2D33
zap suit; Color: Green, 2D34
zap suit; Color: Red, 2D35
zap suit; Color: Yellow, 2D36
zap suit; Color: Black, 2D37
zap suit; Color: Silver, 2D38
zap suit; Color: White, 2D39
zap suit; Color: Pink, 0D7B
zigzag-print dress; Color: Purple, 1208
zigzag-print dress; Color: Green, 226F
zigzag-print dress; Color: Orange, 2270
zigzag-print dress; Color: Coral, 2271
zigzag-print dress; Color: Lime, 2272
zigzag-print dress; Color: Brown, 2273
áo dài; Color: White, 0DA5
áo dài; Color: Navy blue, 23B5
áo dài; Color: Yellow, 23B6
áo dài; Color: Green, 23B7
áo dài; Color: Pink, 23B8
 
clothing_Shoes
antique boots; Color: Greige, 2DAA
antique boots; Color: Black, 2DA9
antique boots; Color: Brown, 1593
armor shoes; Color: No Variations, 1560 DIY: 0282
babouches; Color: Orange, 277D
babouches; Color: Pink, 277E
babouches; Color: Yellow, 277F
babouches; Color: Gray, 2780
babouches; Color: Purple, 2781
babouches; Color: Mint, 2782
babouches; Color: Red, 2783
babouches; Color: Blue, 179B
ballet slippers; Color: Yellow, 27B0
ballet slippers; Color: Red, 27B1
ballet slippers; Color: Mint, 27AB
ballet slippers; Color: Blue, 27AC
ballet slippers; Color: Purple, 27AD
ballet slippers; Color: Black, 27AE
ballet slippers; Color: Pink, 15E8
ballet slippers; Color: White, 27AF
basic pumps; Color: Brown, 3A75
basic pumps; Color: Camel, 3A76
basic pumps; Color: Ivory, 3A77
basic pumps; Color: Greige, 3A78
basic pumps; Color: Red, 3A79
basic pumps; Color: Black, 39AD
basic pumps; Color: Blue, 3A7A
basic pumps; Color: Green, 3A7B
basketball shoes; Color: Red, 1606
basketball shoes; Color: Green, 274C
basketball shoes; Color: Beige, 274D
basketball shoes; Color: Orange, 274E
basketball shoes; Color: Blue, 274F
basketball shoes; Color: Purple, 2750
basketball shoes; Color: Light blue, 2751
basketball shoes; Color: Pink, 2752
beaded sandals; Color: Orange, 1566
beaded sandals; Color: Green, 279C
beaded sandals; Color: Beige, 279D
beaded sandals; Color: Purple, 2799
beaded sandals; Color: Yellow, 279A
beaded sandals; Color: Red, 279B
boots; Color: Green, 1567
boots; Color: Black, 2DA5
boots; Color: Blue, 2DA6
boots; Color: Red, 2DA7
boots; Color: Olive, 2DA8
business shoes; Color: Brown, 2CBF
business shoes; Color: Black, 127A
cast; Color: Blue, 394E
cast; Color: Green, 394F
cast; Color: Black, 3950
cast; Color: Pink, 394D
cast; Color: White, 32A0
Cinnamoroll sneakers; Color: No Variations, 337B
cleats; Color: Green, 280A
cleats; Color: Purple, 280B
cleats; Color: Blue, 1616
cleats; Color: Light blue, 2805
cleats; Color: Red, 2806
cleats; Color: Yellow, 2807
cleats; Color: Black, 2808
cleats; Color: Orange, 2809
comfy sandals; Color: White, 29CC
comfy sandals; Color: Green, 29CD
comfy sandals; Color: Blue, 29CE
comfy sandals; Color: Red, 29CF
comfy sandals; Color: Orange, 29D0
comfy sandals; Color: Yellow, 29D1
comfy sandals; Color: Purple, 29D2
comfy sandals; Color: Brown, 15F3
cowboy boots; Color: Black, 2BF5
cowboy boots; Color: Ivory, 2BF6
cowboy boots; Color: Pink, 2BF7
cowboy boots; Color: Blue, 2BF8
cowboy boots; Color: Brown, 160B
cross-belt sandals; Color: Pink, 2789
cross-belt sandals; Color: Gray, 278A
cross-belt sandals; Color: Brown, 278B
cross-belt sandals; Color: Black, 278C
cross-belt sandals; Color: Purple, 278D
cross-belt sandals; Color: Green, 1275
cute sneakers; Color: Green, 281A
cute sneakers; Color: Pink, 281B
cute sneakers; Color: Yellow, 281C
cute sneakers; Color: Purple, 281D
cute sneakers; Color: Blue, 281E
cute sneakers; Color: Light blue, 16AB
DAL slippers; Color: No Variations, 2F62
dance shoes; Color: Gold, 382D
dance shoes; Color: Orange, 382E
dance shoes; Color: Silver, 382F
dance shoes; Color: Blue, 3830
dance shoes; Color: Pink, 3831
dance shoes; Color: Green, 3832
dance shoes; Color: Purple, 3833
dance shoes; Color: Black, 37B7
earth-egg shoes; Color: No Variations, 30A7 DIY: 02A3
embroidered shoes; Color: White, 2ED3
embroidered shoes; Color: Black, 2ED4
embroidered shoes; Color: Blue, 2ED5
embroidered shoes; Color: Red, 2677
faux-fur ankle booties; Color: Beige, 2DA2
faux-fur ankle booties; Color: Ruby red, 2DA3
faux-fur ankle booties; Color: Navy blue, 2DA4
faux-fur ankle booties; Color: Olive, 1564
faux-shearling boots; Color: Pink, 2D1B
faux-shearling boots; Color: Green, 2D1C
faux-shearling boots; Color: Black, 2D1D
faux-shearling boots; Color: Beige, 1271
faux-shearling boots; Color: Gray, 2D1E
faux-suede sneakers; Color: Green, 1AED
faux-suede sneakers; Color: Navy blue, 275A
faux-suede sneakers; Color: Beige, 275B
faux-suede sneakers; Color: Orange, 275C
faux-suede sneakers; Color: Pink, 275D
faux-suede sneakers; Color: Light blue, 275E
faux-suede sneakers; Color: Purple, 275F
faux-suede sneakers; Color: Berry red, 2760
flashy animal boots; Color: Purple, 3465
flashy animal boots; Color: White, 3466
flashy animal boots; Color: Green, 3467
flashy animal boots; Color: Red, 3468
flashy animal boots; Color: Black, 3469
flashy animal boots; Color: Orange, 32D8
flip-flops; Color: Yellow, 27B9
flip-flops; Color: White, 29EF
flip-flops; Color: Orange, 29F0
flip-flops; Color: Light blue, 29F1
flip-flops; Color: Pink, 29F2
flip-flops; Color: Red, 29F3
flip-flops; Color: Green, 1B0A
flip-flops; Color: Blue, 155E
flower sandals; Color: Pink, 278E
flower sandals; Color: Green, 278F
flower sandals; Color: Purple, 2790
flower sandals; Color: Blue, 2791
flower sandals; Color: Black, 2792
flower sandals; Color: White, 2793
flower sandals; Color: Yellow, 1563
ghillie brogues; Color: Brown, 179A
ghillie brogues; Color: Black, 2CD5
ghillie brogues; Color: White, 2CD6
gladiator sandals; Color: Black, 2BF3
gladiator sandals; Color: Red, 2BF4
gladiator sandals; Color: Brown, 15F4
gold-armor shoes; Color: No Variations, 1594 DIY: 0283
Hello Kitty shoes; Color: No Variations, 336F
hi-tech sneakers; Color: Pink, 280C
hi-tech sneakers; Color: Green, 280D
hi-tech sneakers; Color: Light blue, 280E
hi-tech sneakers; Color: Blue, 280F
hi-tech sneakers; Color: Orange, 161B
high-tops; Color: Brown, 2737
high-tops; Color: Green, 2738
high-tops; Color: Gray, 0A0C
high-tops; Color: Blue, 2739
high-tops; Color: Purple, 273A
high-tops; Color: Red, 273B
high-tops; Color: Yellow, 273C
high-tops; Color: White, 273D
house slippers; Color: Gray, 15BC
house slippers; Color: Navy blue, 276B
house slippers; Color: Pink, 276C
house slippers; Color: Yellow, 276D
house slippers; Color: Green, 276E
house slippers; Color: Blue, 276F
house slippers; Color: Red, 2770
house slippers; Color: Beige, 2771
jester's shoes; Color: Purple, 1607
jester's shoes; Color: Green, 2D28
jester's shoes; Color: Black, 2D26
jester's shoes; Color: Red, 2D27
Kerokerokeroppi boots; Color: No Variations, 3380
kiddie sneakers; Color: Blue, 2815
kiddie sneakers; Color: Green, 2816
kiddie sneakers; Color: Purple, 2817
kiddie sneakers; Color: Silver, 2818
kiddie sneakers; Color: Black, 2819
kiddie sneakers; Color: Red, 1681
Kiki & Lala shoes; Color: No Variations, 3376
kimono sandals; Color: Black, 0E78
kimono sandals; Color: Red, 2AD2
kimono sandals; Color: Pink, 2AD3
kimono sandals; Color: Dark blue, 2AD4
kimono sandals; Color: Gray, 2AD5
kimono sandals; Color: Purple, 2AD6
kimono sandals; Color: Yellow, 2AD7
kimono sandals; Color: Green, 2AD8
kung-fu shoes; Color: No Variations, 2676
Labelle pumps; Color: Midnight, 2DF6
Labelle pumps; Color: Passion, 2DF7
Labelle pumps; Color: Ocean, 2DF8
Labelle pumps; Color: Sunset, 2DF9
Labelle pumps; Color: Love, 2DFA
Labelle pumps; Color: Twilight, 269C
Labelle sneakers; Color: Twilight, 269D
Labelle sneakers; Color: Midnight, 2DFB
Labelle sneakers; Color: Passion, 2DFC
Labelle sneakers; Color: Ocean, 2DFD
Labelle sneakers; Color: Sunset, 2DFE
Labelle sneakers; Color: Love, 2DFF
lace-up boots; Color: Black, 1623
lace-up boots; Color: White, 2BF9
lace-up boots; Color: Brown, 2BFA
lace-up boots; Color: Red, 2BFB
leaf-egg shoes; Color: No Variations, 30A9 DIY: 02A9
leopard pumps; Color: Gray, 2794
leopard pumps; Color: Blue, 2795
leopard pumps; Color: Green, 2796
leopard pumps; Color: Purple, 2797
leopard pumps; Color: Pink, 2798
leopard pumps; Color: Beige, 1565
loafers; Color: Black, 2CB9
loafers; Color: White, 2CBA
loafers; Color: Pink, 2CBB
loafers; Color: Blue, 2CBC
loafers; Color: Yellow, 2CBD
loafers; Color: Red, 2CBE
loafers; Color: Brown, 1274
Luigi shoes; Color: No Variations, 37A3
mage's booties; Color: Black, 1AEE
mage's booties; Color: Blue, 2D29
mage's booties; Color: White, 2D2A
mage's booties; Color: Red, 2D2B
mage's boots; Color: Green, 3476
mage's boots; Color: Red, 3477
mage's boots; Color: Black, 3478
mage's boots; Color: Orange, 32D9
mage's boots; Color: Purple, 3474
mage's boots; Color: White, 3475
Mario shoes; Color: No Variations, 34F9
mary janes; Color: Red, 27B2
mary janes; Color: White, 27B3
mary janes; Color: Light blue, 27B4
mary janes; Color: Yellow, 27B5
mary janes; Color: Blue, 27B6
mary janes; Color: Green, 27B7
mary janes; Color: Pink, 27B8
mary janes; Color: Black, 155F
mermaid shoes; Color: Light blue, 331F
mermaid shoes; Color: Pink, 3174
moccasin boots; Color: Camel, 15A6
moccasin boots; Color: Olive, 2CC0
moccasin boots; Color: Beige, 2CC1
moccasin boots; Color: Pink, 2CC2
moccasin boots; Color: Black, 2CC3
moccasin boots; Color: Blue, 2CC4
moccasin boots; Color: Orange, 2CC5
moccasins; Color: Black, 2CCE
moccasins; Color: Red, 2CC9
moccasins; Color: Light blue, 2CCA
moccasins; Color: White, 2CCB
moccasins; Color: Pink, 2CCC
moccasins; Color: Gray, 2CCD
moccasins; Color: Camel, 16AF
My Melody boots; Color: No Variations, 3371
Nook Inc. slippers; Color: No Variations, 15FE
outdoor sandals; Color: Red, 29D3
outdoor sandals; Color: Blue, 29D4
outdoor sandals; Color: Purple, 29D5
